Country Code,Country Name,Income Group,Region,Base Score,Luxury Access Score,Multiplier,Multiplier Source,Coverage (%),Data Filled (%),Indicator Count,Scoring Type
FRO,Faroe Islands,High income,Europe & Central Asia,38.911,50.584,1.3,income_group_multiplier,100.0,12.7,300,adjusted
FJI,Fiji,Upper middle income,East Asia & Pacific,64.9,72.688,1.12,income_group_multiplier,100.0,49.9,300,adjusted
FIN,Finland,High income,Europe & Central Asia,65.867,85.627,1.3,income_group_multiplier,100.0,51.2,300,adjusted
FRA,France,High income,Europe & Central Asia,67.589,87.866,1.3,income_group_multiplier,100.0,53.7,300,adjusted
PYF,French Polynesia,High income,East Asia & Pacific,43.267,56.247,1.3,income_group_multiplier,100.0,19.0,300,adjusted
GAB,Gabon,Upper middle income,Sub-Saharan Africa,62.3,69.776,1.12,income_group_multiplier,100.0,46.1,300,adjusted
GMB,"Gambia, The",Low income,Sub-Saharan Africa,65.056,50.743,0.78,income_group_multiplier,100.0,50.1,300,adjusted
GEO,Georgia,Upper middle income,Europe & Central Asia,68.522,76.745,1.12,income_group_multiplier,100.0,55.0,300,adjusted
DEU,Germany,High income,Europe & Central Asia,66.789,86.826,1.3,income_group_multiplier,100.0,52.6,300,adjusted
GHA,Ghana,Lower middle income,Sub-Saharan Africa,67.956,62.519,0.92,income_group_multiplier,100.0,54.2,300,adjusted
GIB,Gibraltar,High income,Europe & Central Asia,35.378,45.991,1.3,income_group_multiplier,100.0,7.7,300,adjusted
GRC,Greece,High income,Europe & Central Asia,66.589,86.566,1.3,income_group_multiplier,100.0,52.3,300,adjusted
GRL,Greenland,High income,Europe & Central Asia,42.111,54.744,1.3,income_group_multiplier,100.0,17.3,300,adjusted
GRD,Grenada,Upper middle income,Latin America & Caribbean,55.333,61.973,1.12,income_group_multiplier,100.0,36.2,300,adjusted
GUM,Guam,High income,East Asia & Pacific,40.956,53.242,1.3,income_group_multiplier,100.0,15.7,300,adjusted
GTM,Guatemala,Upper middle income,Latin America & Caribbean,70.011,78.412,1.12,income_group_multiplier,100.0,57.2,300,adjusted
GIN,Guinea,Lower middle income,Sub-Saharan Africa,64.244,59.105,0.92,income_group_multiplier,100.0,48.9,300,adjusted
GNB,Guinea-Bissau,Low income,Sub-Saharan Africa,61.733,48.152,0.78,income_group_multiplier,100.0,45.3,300,adjusted
GUY,Guyana,High income,Latin America & Caribbean,62.756,81.582,1.3,income_group_multiplier,100.0,46.8,300,adjusted
HTI,Haiti,Lower middle income,Latin America & Caribbean,61.544,56.621,0.92,income_group_multiplier,100.0,45.1,300,adjusted
HND,Honduras,Lower middle income,Latin America & Caribbean,69.511,63.95,0.92,income_group_multiplier,100.0,56.4,300,adjusted
HKG,"Hong Kong SAR, China",High income,East Asia & Pacific,60.3,78.39,1.3,income_group_multiplier,100.0,43.3,300,adjusted
HUN,Hungary,High income,Europe & Central Asia,68.567,89.137,1.3,income_group_multiplier,100.0,55.1,300,adjusted
ISL,Iceland,High income,Europe & Central Asia,66.522,86.479,1.3,income_group_multiplier,100.0,52.2,300,adjusted
IND,India,Lower middle income,South Asia,68.656,63.163,0.92,income_group_multiplier,100.0,55.2,300,adjusted
IDN,Indonesia,Upper middle income,East Asia & Pacific,70.889,79.396,1.12,income_group_multiplier,100.0,58.4,300,adjusted
IRN,"Iran, Islamic Republic of",Upper middle income,"Middle East, North Africa, Afghanistan & Pakistan",61.344,68.706,1.12,income_group_multiplier,100.0,44.8,300,adjusted
IRQ,Iraq,Upper middle income,"Middle East, North Africa, Afghanistan & Pakistan",61.278,68.631,1.12,income_group_multiplier,100.0,44.7,300,adjusted
IRL,Ireland,High income,Europe & Central Asia,64.344,83.648,1.3,income_group_multiplier,100.0,49.1,300,adjusted
IMN,Isle of Man,High income,Europe & Central Asia,34.322,44.619,1.3,income_group_multiplier,100.0,6.2,300,adjusted
ISR,Israel,High income,"Middle East, North Africa, Afghanistan & Pakistan",67.656,87.952,1.3,income_group_multiplier,100.0,53.8,300,adjusted
ITA,Italy,High income,Europe & Central Asia,66.656,86.652,1.3,income_group_multiplier,100.0,52.4,300,adjusted
JAM,Jamaica,Upper middle income,Latin America & Caribbean,68.267,76.459,1.12,income_group_multiplier,100.0,54.7,300,adjusted
JPN,Japan,High income,East Asia & Pacific,67.111,87.244,1.3,income_group_multiplier,100.0,53.0,300,adjusted
JOR,Jordan,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",69.189,63.654,0.92,income_group_multiplier,100.0,56.0,300,adjusted
KAZ,Kazakhstan,Upper middle income,Europe & Central Asia,67.6,75.712,1.12,income_group_multiplier,100.0,53.7,300,adjusted
KEN,Kenya,Lower middle income,Sub-Saharan Africa,68.711,63.214,0.92,income_group_multiplier,100.0,55.3,300,adjusted
KIR,Kiribati,Lower middle income,East Asia & Pacific,49.5,45.54,0.92,income_group_multiplier,100.0,27.9,300,adjusted
PRK,"Korea, Democratic People’s Republic of",Low income,East Asia & Pacific,47.9,37.362,0.78,income_group_multiplier,100.0,25.6,300,adjusted
KOR,Korea,High income,East Asia & Pacific,68.378,88.891,1.3,income_group_multiplier,100.0,54.8,300,adjusted
XKX,Kosovo,Upper middle income,Europe & Central Asia,44.289,49.604,1.12,income_group_multiplier,100.0,20.4,300,adjusted
KWT,Kuwait,High income,"Middle East, North Africa, Afghanistan & Pakistan",63.344,82.348,1.3,income_group_multiplier,100.0,47.6,300,adjusted
KGZ,Kyrgyz Republic,Lower middle income,Europe & Central Asia,69.844,64.257,0.92,income_group_multiplier,100.0,56.9,300,adjusted
LAO,Lao PDR,Lower middle income,East Asia & Pacific,64.4,59.248,0.92,income_group_multiplier,100.0,49.1,300,adjusted
LVA,Latvia,High income,Europe & Central Asia,65.744,85.468,1.3,income_group_multiplier,100.0,51.1,300,adjusted
LBN,Lebanon,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",62.011,57.05,0.92,income_group_multiplier,100.0,45.7,300,adjusted
LSO,Lesotho,Lower middle income,Sub-Saharan Africa,65.811,60.546,0.92,income_group_multiplier,100.0,51.2,300,adjusted
LBR,Liberia,Low income,Sub-Saharan Africa,59.5,46.41,0.78,income_group_multiplier,100.0,42.1,300,adjusted
LBY,Libya,Upper middle income,"Middle East, North Africa, Afghanistan & Pakistan",57.467,64.363,1.12,income_group_multiplier,100.0,39.2,300,adjusted
LIE,Liechtenstein,High income,Europe & Central Asia,42.422,55.149,1.3,income_group_multiplier,100.0,17.7,300,adjusted
LTU,Lithuania,High income,Europe & Central Asia,66.244,86.118,1.3,income_group_multiplier,100.0,51.8,300,adjusted
LUX,Luxembourg,High income,Europe & Central Asia,63.278,82.261,1.3,income_group_multiplier,100.0,47.5,300,adjusted
MAC,"Macao SAR, China",High income,East Asia & Pacific,56.478,73.421,1.3,income_group_multiplier,100.0,37.8,300,adjusted
MDG,Madagascar,Low income,Sub-Saharan Africa,68.111,53.127,0.78,income_group_multiplier,100.0,54.4,300,adjusted
MWI,Malawi,Low income,Sub-Saharan Africa,64.5,50.31,0.78,income_group_multiplier,100.0,49.3,300,adjusted
MYS,Malaysia,Upper middle income,East Asia & Pacific,70.589,79.06,1.12,income_group_multiplier,100.0,58.0,300,adjusted
MDV,Maldives,Upper middle income,South Asia,62.444,69.938,1.12,income_group_multiplier,100.0,46.3,300,adjusted
MLI,Mali,Low income,Sub-Saharan Africa,65.911,51.411,0.78,income_group_multiplier,100.0,51.3,300,adjusted
MLT,Malta,High income,"Middle East, North Africa, Afghanistan & Pakistan",63.833,82.983,1.3,income_group_multiplier,100.0,48.3,300,adjusted
MHL,Marshall Islands,Upper middle income,East Asia & Pacific,46.467,52.043,1.12,income_group_multiplier,100.0,23.5,300,adjusted
MRT,Mauritania,Lower middle income,Sub-Saharan Africa,62.389,57.398,0.92,income_group_multiplier,100.0,46.3,300,adjusted
MUS,Mauritius,Upper middle income,Sub-Saharan Africa,67.333,75.413,1.12,income_group_multiplier,100.0,53.3,300,adjusted
MEX,Mexico,Upper middle income,Latin America & Caribbean,71.4,79.968,1.12,income_group_multiplier,100.0,59.1,300,adjusted
FSM,"Micronesia, Federated States of",Lower middle income,East Asia & Pacific,49.011,45.09,0.92,income_group_multiplier,100.0,27.2,300,adjusted
MDA,Moldova,Upper middle income,Europe & Central Asia,68.711,76.956,1.12,income_group_multiplier,100.0,55.3,300,adjusted
MCO,Monaco,High income,Europe & Central Asia,40.689,52.896,1.3,income_group_multiplier,100.0,15.3,300,adjusted
MNG,Mongolia,Upper middle income,East Asia & Pacific,67.667,75.787,1.12,income_group_multiplier,100.0,53.8,300,adjusted
MNE,Montenegro,Upper middle income,Europe & Central Asia,59.3,66.416,1.12,income_group_multiplier,100.0,41.9,300,adjusted
MAR,Morocco,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",68.844,63.337,0.92,income_group_multiplier,100.0,55.5,300,adjusted
MOZ,Mozambique,Low income,Sub-Saharan Africa,66.867,52.156,0.78,income_group_multiplier,100.0,52.7,300,adjusted
MMR,Myanmar,Lower middle income,East Asia & Pacific,63.644,58.553,0.92,income_group_multiplier,100.0,48.1,300,adjusted
NAM,Namibia,Lower middle income,Sub-Saharan Africa,66.922,61.568,0.92,income_group_multiplier,100.0,52.7,300,adjusted
NRU,Nauru,High income,East Asia & Pacific,41.478,53.921,1.3,income_group_multiplier,100.0,16.4,300,adjusted
NPL,Nepal,Lower middle income,South Asia,66.178,60.884,0.92,income_group_multiplier,100.0,51.7,300,adjusted
NLD,Netherlands,High income,Europe & Central Asia,65.311,84.904,1.3,income_group_multiplier,100.0,50.4,300,adjusted
NCL,New Caledonia,High income,East Asia & Pacific,43.078,56.001,1.3,income_group_multiplier,100.0,18.7,300,adjusted
NZL,New Zealand,High income,East Asia & Pacific,67.278,87.461,1.3,income_group_multiplier,100.0,53.3,300,adjusted
NIC,Nicaragua,Lower middle income,Latin America & Caribbean,66.511,61.19,0.92,income_group_multiplier,100.0,52.2,300,adjusted
NER,Niger,Low income,Sub-Saharan Africa,66.067,51.532,0.78,income_group_multiplier,100.0,51.5,300,adjusted
NGA,Nigeria,Lower middle income,Sub-Saharan Africa,65.111,59.902,0.92,income_group_multiplier,100.0,50.2,300,adjusted
MKD,North Macedonia,Upper middle income,Europe & Central Asia,67.756,75.886,1.12,income_group_multiplier,100.0,53.9,300,adjusted
MNP,Northern Mariana Islands,High income,East Asia & Pacific,35.0,45.5,1.3,income_group_multiplier,100.0,7.1,300,adjusted
NOR,Norway,High income,Europe & Central Asia,66.844,86.898,1.3,income_group_multiplier,100.0,52.6,300,adjusted
OMN,Oman,High income,"Middle East, North Africa, Afghanistan & Pakistan",63.367,82.377,1.3,income_group_multiplier,100.0,47.7,300,adjusted
PAK,Pakistan,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",68.178,62.724,0.92,income_group_multiplier,100.0,54.5,300,adjusted
PLW,Palau,High income,East Asia & Pacific,47.6,61.88,1.3,income_group_multiplier,100.0,25.1,300,adjusted
PAN,Panama,High income,Latin America & Caribbean,67.956,88.342,1.3,income_group_multiplier,100.0,54.2,300,adjusted
PNG,Papua New Guinea,Lower middle income,East Asia & Pacific,61.511,56.59,0.92,income_group_multiplier,100.0,45.0,300,adjusted
PRY,Paraguay,Upper middle income,Latin America & Caribbean,69.1,77.392,1.12,income_group_multiplier,100.0,55.9,300,adjusted
PER,Peru,Upper middle income,Latin America & Caribbean,71.3,79.856,1.12,income_group_multiplier,100.0,59.0,300,adjusted
PHL,Philippines,Lower middle income,East Asia & Pacific,70.533,64.891,0.92,income_group_multiplier,100.0,57.9,300,adjusted
POL,Poland,High income,Europe & Central Asia,69.889,90.856,1.3,income_group_multiplier,100.0,57.0,300,adjusted
PRT,Portugal,High income,Europe & Central Asia,66.422,86.349,1.3,income_group_multiplier,100.0,52.0,300,adjusted
PRI,Puerto Rico (US),High income,Latin America & Caribbean,49.333,64.133,1.3,income_group_multiplier,100.0,27.6,300,adjusted
QAT,Qatar,High income,"Middle East, North Africa, Afghanistan & Pakistan",63.122,82.059,1.3,income_group_multiplier,100.0,47.3,300,adjusted
ROU,Romania,High income,Europe & Central Asia,70.044,91.058,1.3,income_group_multiplier,100.0,57.2,300,adjusted
RUS,Russian Federation,High income,Europe & Central Asia,67.678,87.981,1.3,income_group_multiplier,100.0,53.8,300,adjusted
RWA,Rwanda,Low income,Sub-Saharan Africa,66.378,51.775,0.78,income_group_multiplier,100.0,52.0,300,adjusted
WSM,Samoa,Upper middle income,East Asia & Pacific,59.744,66.914,1.12,income_group_multiplier,100.0,42.5,300,adjusted
SMR,San Marino,High income,Europe & Central Asia,42.989,55.886,1.3,income_group_multiplier,100.0,18.6,300,adjusted
STP,São Tomé and Principe,Lower middle income,Sub-Saharan Africa,59.711,54.934,0.92,income_group_multiplier,100.0,42.4,300,adjusted
SEN,Senegal,Lower middle income,Sub-Saharan Africa,67.967,62.529,0.92,income_group_multiplier,100.0,54.2,300,adjusted
SRB,Serbia,Upper middle income,Europe & Central Asia,62.878,70.423,1.12,income_group_multiplier,100.0,47.0,300,adjusted
SYC,Seychelles,High income,Sub-Saharan Africa,56.867,73.927,1.3,income_group_multiplier,100.0,38.4,300,adjusted
SLE,Sierra Leone,Low income,Sub-Saharan Africa,62.189,48.507,0.78,income_group_multiplier,100.0,46.0,300,adjusted
SGP,Singapore,High income,East Asia & Pacific,65.889,85.656,1.3,income_group_multiplier,100.0,51.3,300,adjusted
SXM,Sint Maarten (Dutch part),High income,Latin America & Caribbean,34.6,44.98,1.3,income_group_multiplier,100.0,6.6,300,adjusted
SVK,Slovak Republic,High income,Europe & Central Asia,67.233,87.403,1.3,income_group_multiplier,100.0,53.2,300,adjusted
SVN,Slovenia,High income,Europe & Central Asia,66.0,85.8,1.3,income_group_multiplier,100.0,51.4,300,adjusted
SLB,Solomon Islands,Lower middle income,East Asia & Pacific,59.989,55.19,0.92,income_group_multiplier,100.0,42.8,300,adjusted
SOM,Somalia,Low income,Sub-Saharan Africa,49.656,38.731,0.78,income_group_multiplier,100.0,28.1,300,adjusted
ZAF,South Africa,Upper middle income,Sub-Saharan Africa,69.8,78.176,1.12,income_group_multiplier,100.0,56.9,300,adjusted
SSD,South Sudan,Low income,Sub-Saharan Africa,48.9,38.142,0.78,income_group_multiplier,100.0,27.0,300,adjusted
ESP,Spain,High income,Europe & Central Asia,66.522,86.479,1.3,income_group_multiplier,100.0,52.2,300,adjusted
LKA,Sri Lanka,Lower middle income,South Asia,67.289,61.906,0.92,income_group_multiplier,100.0,53.3,300,adjusted
KNA,St. Kitts and Nevis,High income,Latin America & Caribbean,54.833,71.283,1.3,income_group_multiplier,100.0,35.5,300,adjusted
LCA,St. Lucia,Upper middle income,Latin America & Caribbean,59.878,67.063,1.12,income_group_multiplier,100.0,42.7,300,adjusted
MAF,St. Martin (French part),High income,Latin America & Caribbean,32.222,41.889,1.3,income_group_multiplier,100.0,3.2,300,adjusted
VCT,St. Vincent and the Grenadines,Upper middle income,Latin America & Caribbean,59.6,66.752,1.12,income_group_multiplier,100.0,42.3,300,adjusted
SDN,Sudan,Low income,Sub-Saharan Africa,62.122,48.455,0.78,income_group_multiplier,100.0,45.9,300,adjusted
SUR,Suriname,Upper middle income,Latin America & Caribbean,63.333,70.933,1.12,income_group_multiplier,100.0,47.6,300,adjusted
SWE,Sweden,High income,Europe & Central Asia,67.244,87.418,1.3,income_group_multiplier,100.0,53.2,300,adjusted
CHE,Switzerland,High income,Europe & Central Asia,66.678,86.681,1.3,income_group_multiplier,100.0,52.4,300,adjusted
TJK,Tajikistan,Lower middle income,Europe & Central Asia,65.033,59.831,0.92,income_group_multiplier,100.0,50.0,300,adjusted
TZA,Tanzania,Lower middle income,Sub-Saharan Africa,68.578,63.092,0.92,income_group_multiplier,100.0,55.1,300,adjusted
THA,Thailand,Upper middle income,East Asia & Pacific,70.344,78.786,1.12,income_group_multiplier,100.0,57.6,300,adjusted
TLS,Timor-Leste,Lower middle income,East Asia & Pacific,60.4,55.568,0.92,income_group_multiplier,100.0,43.4,300,adjusted
TGO,Togo,Low income,Sub-Saharan Africa,66.133,51.584,0.78,income_group_multiplier,100.0,51.6,300,adjusted
TON,Tonga,Upper middle income,East Asia & Pacific,58.556,65.582,1.12,income_group_multiplier,100.0,40.8,300,adjusted
TUN,Tunisia,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",66.511,61.19,0.92,income_group_multiplier,100.0,52.2,300,adjusted
TUR,Türkiye,Upper middle income,Europe & Central Asia,70.178,78.599,1.12,income_group_multiplier,100.0,57.4,300,adjusted
TKM,Turkmenistan,Upper middle income,Europe & Central Asia,52.544,58.85,1.12,income_group_multiplier,100.0,32.2,300,adjusted
TCA,Turks and Caicos Islands,High income,Latin America & Caribbean,40.944,53.228,1.3,income_group_multiplier,100.0,15.6,300,adjusted
TUV,Tuvalu,Upper middle income,East Asia & Pacific,44.044,49.33,1.12,income_group_multiplier,100.0,20.1,300,adjusted
UGA,Uganda,Low income,Sub-Saharan Africa,67.644,52.763,0.78,income_group_multiplier,100.0,53.8,300,adjusted
UKR,Ukraine,Upper middle income,Europe & Central Asia,69.2,77.504,1.12,income_group_multiplier,100.0,56.0,300,adjusted
GBR,United Kingdom,High income,Europe & Central Asia,67.356,87.562,1.3,income_group_multiplier,100.0,53.4,300,adjusted
USA,United States,High income,North America,67.967,88.357,1.3,income_group_multiplier,100.0,54.2,300,adjusted
URY,Uruguay,High income,Latin America & Caribbean,69.144,89.888,1.3,income_group_multiplier,100.0,55.9,300,adjusted
UZB,Uzbekistan,Lower middle income,Europe & Central Asia,64.111,58.982,0.92,income_group_multiplier,100.0,48.7,300,adjusted
VUT,Vanuatu,Lower middle income,East Asia & Pacific,59.211,54.474,0.92,income_group_multiplier,100.0,41.7,300,adjusted
VNM,Viet Nam,Lower middle income,East Asia & Pacific,66.333,61.027,0.92,income_group_multiplier,100.0,51.9,300,adjusted
VIR,Virgin Islands (US),High income,Latin America & Caribbean,41.167,53.517,1.3,income_group_multiplier,100.0,16.0,300,adjusted
PSE,West Bank and Gaza,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",56.811,52.266,0.92,income_group_multiplier,100.0,38.3,300,adjusted
YEM,"Yemen, Republic of",Low income,"Middle East, North Africa, Afghanistan & Pakistan",59.822,46.661,0.78,income_group_multiplier,100.0,42.6,300,adjusted
ZMB,Zambia,Lower middle income,Sub-Saharan Africa,67.678,62.264,0.92,income_group_multiplier,100.0,53.8,300,adjusted
ZWE,Zimbabwe,Lower middle income,Sub-Saharan Africa,64.3,59.156,0.92,income_group_multiplier,100.0,49.0,300,adjusted
